chemin_original,dossier_parent,fichier,type,format,taille,dimensions,activite_probable,id_registre_probable,usage_probable,statut_publication,raison,source_connue,licence_connue,action_recommandee
"_private-inputs/a-integrer/all-archive/A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache/Left_Talus_bone_-_animation03.gif","A01-IMG-002 — vue isolée d’un astragale humain, avec modèle 3d, et astragale de mouton et de vache",Left_Talus_bone_-_animation03.gif,image,gif,1728811,450x450,activite-01,A01-IMG-002,Activite 1: vue isolee d'astragale/talus et comparaison humain/bovin,publiable maintenant,"source BodyParts3D/DBCLS, auteur et licence compatibles verifies; animation utile comme demonstration numerique","BodyParts3D / DBCLS, via Wikimedia Commons",CC BY-SA 2.1 JP,"integration possible en ressource numerique ou guide adulte, avec alternative statique pour accessibilite et impression"
"_private-inputs/a-integrer/all-archive/A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse/Evolution;_its_nature,_its_evidences,_and_its_relation_to_religious_thought_(1922)_(14802898753) comparaison pieds-jambe humain, singe, mouton, cheval. numero 5 montre le talus.jpg",A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse,"Evolution;_its_nature,_its_evidences,_and_its_relation_to_religious_thought_(1922)_(14802898753) comparaison pieds-jambe humain, singe, mouton, cheval. numero 5 montre le talus.jpg",image,jpg,364320,2336x1656,activite-01,A01-IMG-003,Activite 1 ou 2: membre posterieur de mouton et comparaison historique des membres,publiable après légende prudente,source ancienne et droits compatibles; exige une contextualisation car ce n'est pas un schema anatomique moderne valide,"Joseph LeConte, Evolution; its nature, its evidences, and its relation to religious thought, 1922 / Internet Archive Book Images, via Wikimedia Commons",No known copyright restrictions,publier seulement avec legende prudente et statut de planche comparative ancienne
_private-inputs/a-integrer/all-archive/A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse/Sheep_skeleton_at_MAV-USP.jpg,A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse,Sheep_skeleton_at_MAV-USP.jpg,image,jpg,1692345,3790x3032,activite-01,A01-IMG-003,Activite 1 ou 2: membre posterieur de mouton et comparaison historique des membres,publiable maintenant,"source institutionnelle, photographe et licence CC BY-SA 4.0 verifies","Museum of Veterinary Anatomy FMVZ USP / Wagner Souza e Silva, via Wikimedia Commons",CC BY-SA 4.0,integration recommandee pour activite 1 ou 2 avec credit court et legende squelette de mouton
_private-inputs/a-integrer/all-archive/A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse/Skeletal_sheep_foot_University_of_Dundee_Museum_collections.jpg,A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse,Skeletal_sheep_foot_University_of_Dundee_Museum_collections.jpg,image,jpg,923963,2500x1000,activite-01,A01-IMG-003,Activite 1 ou 2: membre posterieur de mouton et comparaison historique des membres,publiable maintenant,"source, auteure et licence CC BY-SA 4.0 identifies; image utile pour observer le pied de mouton","Caroline Eroline / University of Dundee Museum collections / Sketchfab, via Wikimedia Commons",CC BY-SA 4.0,integration recommandee pour activite 1 ou 2 avec legende anatomique prudente
_private-inputs/a-integrer/all-archive/A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse/skeletal_sheep_foot.glb,A01-IMG-003 — membre postérieur de mouton et squelette montrant le tarse,skeletal_sheep_foot.glb,modele-3d,glb,35543024,,activite-01,A01-IMG-003,Activite 1 ou 2: membre posterieur de mouton et comparaison historique des membres,à vérifier,"modele 3D probablement lie a Sketchfab/University of Dundee, mais licence du fichier 3D local et conditions d'integration non confirmees","Sketchfab / Caroline Eroline probable, a confirmer",a verifier sur la page source du modele,"verifier auteur, licence, telechargement, modification, compression, affichage WebGL et attribution avant toute integration"
_private-inputs/a-integrer/all-archive/A01-IMG-004 — troisième mammifère de comparaison/shema jambe vache.jpg,A01-IMG-004 — troisième mammifère de comparaison,shema jambe vache.jpg,image,jpg,1083202,3597x2805,activite-01,A01-IMG-004,Activite 1 ou 2: comparaison avec le membre posterieur de bovin,publiable maintenant,source historique signalee par Nicolas; domaine public; utile comme schema ancien de comparaison bovine,"Ellenberger, Baum et Dittrich, source signalee par Nicolas, via Wikimedia Commons",domaine public,"integration possible avec credit complet, en precisant qu'il s'agit d'un schema ancien"
_private-inputs/a-integrer/all-archive/A01-IMG-004 — troisième mammifère de comparaison/squelette vache.jpg,A01-IMG-004 — troisième mammifère de comparaison,squelette vache.jpg,image,jpg,3173276,4117x2812,activite-01,A01-IMG-004,Activite 1 ou 2: comparaison avec le membre posterieur de bovin,publiable maintenant,source et licence signalees par Nicolas; image utile pour comparaison bovine,"Andryusha Romanov, via Wikimedia Commons",CC BY 4.0,integration possible apres verification finale de l'URL Wikimedia et credit court
_private-inputs/a-integrer/all-archive/A02-IMG-001 — photographies des os A à D/Comparative-talus-anatomy-Size-comparison-of-left-tali-from-species-commonly-used-as.png,A02-IMG-001 — photographies des os A à D,Comparative-talus-anatomy-Size-comparison-of-left-tali-from-species-commonly-used-as.png,image,png,638742,850x1016,activite-02,A02-IMG-001,"Activite 2: reference adulte pour comparaison des tali, non publique sans droits",référence interne seulement,figure d'article scientifique / ResearchGate; ne pas publier sans licence explicite,Delco et al. 2016 / ResearchGate,non compatible ou non documentee,conserver comme reference adulte; produire un schema original valide si besoin public
_private-inputs/a-integrer/all-archive/A02-IMG-002 — images des animaux A à D/American_quarter_horse.jpg,A02-IMG-002 — images des animaux A à D,American_quarter_horse.jpg,image,jpg,2543247,2816x2112,activite-02,A02-IMG-002,Activite 2: cartes animaux candidates,publiable maintenant,"source Flickr/Wikimedia, auteur et licence CC BY-SA 2.0 verifies","evelynbelgium / Flickr, via Wikimedia Commons",CC BY-SA 2.0,integration possible comme carte animal cheval dans l'activite 2
_private-inputs/a-integrer/all-archive/A02-IMG-002 — images des animaux A à D/Bos_taurus_taurus_sideview.jpg,A02-IMG-002 — images des animaux A à D,Bos_taurus_taurus_sideview.jpg,image,jpg,1769854,1800x1200,activite-02,A02-IMG-002,Activite 2: cartes animaux candidates,à vérifier,"image de vache entiere signalee comme Wikimedia, mais auteur/licence exacts non confirmes dans cette passe","Wikimedia Commons probable, correspondance a confirmer",à vérifier,retrouver la page source exacte avant publication comme carte animal vache
_private-inputs/a-integrer/all-archive/A02-IMG-002 — images des animaux A à D/Cervus_elaphus_Luc_Viatour_6.jpg,A02-IMG-002 — images des animaux A à D,Cervus_elaphus_Luc_Viatour_6.jpg,image,jpg,6743433,4135x2757,activite-02,A02-IMG-002,Activite 2: cartes animaux candidates,publiable maintenant,"source, auteur et licence CC BY-SA 3.0 verifies","Luc Viatour, via Wikimedia Commons",CC BY-SA 3.0,integration possible comme carte animal cerf dans l'activite 2
_private-inputs/a-integrer/all-archive/A02-IMG-002 — images des animaux A à D/Ovis_orientalis_aries.005_-_Ribadeo.jpg,A02-IMG-002 — images des animaux A à D,Ovis_orientalis_aries.005_-_Ribadeo.jpg,image,jpg,8229953,5152x3864,activite-02,A02-IMG-002,Activite 2: cartes animaux candidates,publiable maintenant,"source, auteur et licence CC BY-SA 4.0 verifies","Fernando Losada Rodriguez, via Wikimedia Commons",CC BY-SA 4.0,integration possible comme carte animal mouton dans l'activite 2
_private-inputs/a-integrer/all-archive/A02-IMG-002 — images des animaux A à D/Sus_scrofa_scrofa.jpg,A02-IMG-002 — images des animaux A à D,Sus_scrofa_scrofa.jpg,image,jpg,1791695,1600x1200,activite-02,A02-IMG-002,Activite 2: cartes animaux candidates,publiable maintenant,"source, auteur et domaine public verifies","Joshua Lutz, via Wikimedia Commons",domaine public,integration possible comme carte animal cochon dans l'activite 2
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/Horseanatomy.png,A02-IMG-003 — squelettes ou pattes des animaux retenus,Horseanatomy.png,image,png,1808071,2450x2050,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,source et licence compatibles verifiees; labels en anglais a traiter avant usage eleve,"WikipedianProlific, via Wikimedia Commons",CC BY-SA 3.0 / GFDL,"integration possible en guide adulte ou prolongement, avec mention des labels anglais ou adaptation graphique validee"
"_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/PteropusSkeleton_chauve souris, ts pour tarsus.jpg",A02-IMG-003 — squelettes ou pattes des animaux retenus,"PteropusSkeleton_chauve souris, ts pour tarsus.jpg",image,jpg,91533,762x813,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,source ancienne et domaine public verifies; usage seulement en prolongement hors corpus principal,"British Museum, 1892, via Wikimedia Commons / Internet Archive",domaine public / Public Domain Mark,"integration possible seulement en prolongement activite 2, pas dans le corpus principal A-D"
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/Sheep_skeleton_at_MAV-USP.jpg,A02-IMG-003 — squelettes ou pattes des animaux retenus,Sheep_skeleton_at_MAV-USP.jpg,image,jpg,1692345,3790x3032,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,"source institutionnelle, photographe et licence CC BY-SA 4.0 verifies","Museum of Veterinary Anatomy FMVZ USP / Wagner Souza e Silva, via Wikimedia Commons",CC BY-SA 4.0,integration recommandee pour activite 1 ou 2 avec credit court et legende squelette de mouton
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/shema jambe vache.jpg,A02-IMG-003 — squelettes ou pattes des animaux retenus,shema jambe vache.jpg,image,jpg,1083202,3597x2805,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,source historique signalee par Nicolas; domaine public; utile comme schema ancien de comparaison bovine,"Ellenberger, Baum et Dittrich, source signalee par Nicolas, via Wikimedia Commons",domaine public,"integration possible avec credit complet, en precisant qu'il s'agit d'un schema ancien"
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/Skeletal_sheep_foot_University_of_Dundee_Museum_collections.jpg,A02-IMG-003 — squelettes ou pattes des animaux retenus,Skeletal_sheep_foot_University_of_Dundee_Museum_collections.jpg,image,jpg,923963,2500x1000,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,"source, auteure et licence CC BY-SA 4.0 identifies; image utile pour observer le pied de mouton","Caroline Eroline / University of Dundee Museum collections / Sketchfab, via Wikimedia Commons",CC BY-SA 4.0,integration recommandee pour activite 1 ou 2 avec legende anatomique prudente
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/squelette cerf.png,A02-IMG-003 — squelettes ou pattes des animaux retenus,squelette cerf.png,image,png,34603,,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",référence interne seulement,source et licence non etablies; possible figure issue d'une publication moderne,non documentee,non documentee,utiliser seulement comme reference interne tant que source/licence ne sont pas clarifiees
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/squelette vache.jpg,A02-IMG-003 — squelettes ou pattes des animaux retenus,squelette vache.jpg,image,jpg,3173276,4117x2812,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,source et licence signalees par Nicolas; image utile pour comparaison bovine,"Andryusha Romanov, via Wikimedia Commons",CC BY 4.0,integration possible apres verification finale de l'URL Wikimedia et credit court
_private-inputs/a-integrer/all-archive/A02-IMG-003 — squelettes ou pattes des animaux retenus/Suíno_alta.jpg,A02-IMG-003 — squelettes ou pattes des animaux retenus,Suíno_alta.jpg,image,jpg,2303207,3923x2592,activite-02,A02-IMG-003,"Activite 2: silhouettes/squelettes animaux, corpus a sourcer",publiable maintenant,"source institutionnelle, photographe et licence CC BY-SA 4.0 verifies","Museum of Veterinary Anatomy FMVZ USP / Wagner Souza e Silva, via Wikimedia Commons",CC BY-SA 4.0,integration possible comme squelette de porc en activite 2
"_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 1.Drawing of a lost Chalcidian Amphora (540 Bce), formerly in the Pembroke-Hope collection, based on A. Rumpf, Chalkidische Vasen, Berlin-Leipzig, 1927, pl. 12, Wikimedia Commons.jpeg",A03-IMG-001 — image antique liée à Achille,"Figure 1.Drawing of a lost Chalcidian Amphora (540 Bce), formerly in the Pembroke-Hope collection, based on A. Rumpf, Chalkidische Vasen, Berlin-Leipzig, 1927, pl. 12, Wikimedia Commons.jpeg",image,jpeg,48627,520x168,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",à vérifier,"la source probable est visible, mais la page et la licence ne sont pas documentees",Wikimedia Commons indique dans le nom de fichier,à vérifier,"retrouver la page Wikimedia exacte et renseigner auteur, licence et URL"
_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 2.jpeg,A03-IMG-001 — image antique liée à Achille,Figure 2.jpeg,image,jpeg,69275,520x528,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",référence interne seulement,le droit sur l'article ne garantit pas automatiquement le droit sur chaque image de collection,"figure issue ou derivee d'une source scientifique sur Achille, detail a documenter","a verifier, droits tiers possibles",documenter chaque institution et licence avant usage public
"_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 3.Etruscan-italic gem depicting Achilles removing an arrow from his ankle—Wien, Kunsthistorischen Museum (after Burgess 1995, fig. 6).jpeg",A03-IMG-001 — image antique liée à Achille,"Figure 3.Etruscan-italic gem depicting Achilles removing an arrow from his ankle—Wien, Kunsthistorischen Museum (after Burgess 1995, fig. 6).jpeg",image,jpeg,37294,520x363,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",référence interne seulement,le droit sur l'article ne garantit pas automatiquement le droit sur chaque image de collection,"figure issue ou derivee d'une source scientifique sur Achille, detail a documenter","a verifier, droits tiers possibles",documenter chaque institution et licence avant usage public
"_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 4.Stone relief depicting Thetis dipping Achilles—Rome, Musei Capitolini (after Burgess 1995, fig. 1).jpeg",A03-IMG-001 — image antique liée à Achille,"Figure 4.Stone relief depicting Thetis dipping Achilles—Rome, Musei Capitolini (after Burgess 1995, fig. 1).jpeg",image,jpeg,45061,520x374,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",référence interne seulement,le droit sur l'article ne garantit pas automatiquement le droit sur chaque image de collection,"figure issue ou derivee d'une source scientifique sur Achille, detail a documenter","a verifier, droits tiers possibles",documenter chaque institution et licence avant usage public
_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 5.Sarcophagus depicting the story of Achilles and Polyxena (ca. 250)—Museo Nacional del Prado (inv. N. E000182) ©Photographic Archive Museo Nacional del Prado.jpeg,A03-IMG-001 — image antique liée à Achille,Figure 5.Sarcophagus depicting the story of Achilles and Polyxena (ca. 250)—Museo Nacional del Prado (inv. N. E000182) ©Photographic Archive Museo Nacional del Prado.jpeg,image,jpeg,73400,520x520,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",référence interne seulement,"credit institutionnel visible, droits de publication non etablis",Museo Nacional del Prado indique dans le nom de fichier,à vérifier,demander/valider les droits ou utiliser seulement comme reference interne
_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 6.jpeg,A03-IMG-001 — image antique liée à Achille,Figure 6.jpeg,image,jpeg,93739,520x724,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",référence interne seulement,le droit sur l'article ne garantit pas automatiquement le droit sur chaque image de collection,"figure issue ou derivee d'une source scientifique sur Achille, detail a documenter","a verifier, droits tiers possibles",documenter chaque institution et licence avant usage public
_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 7.Red figure lekythos depicting armed hoplite. his shield is decorated with a triskeles (470 Bce)-Museo Archeologico di Siracusa CC BY-SA 4.0.jpeg,A03-IMG-001 — image antique liée à Achille,Figure 7.Red figure lekythos depicting armed hoplite. his shield is decorated with a triskeles (470 Bce)-Museo Archeologico di Siracusa CC BY-SA 4.0.jpeg,image,jpeg,51256,520x520,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",à vérifier,"licence plausible mais URL, auteur et conditions d'attribution manquants","source indiquee dans le nom de fichier, URL absente du lot","CC BY-SA 4.0 indiquee dans le nom, attribution complete a documenter",retrouver la page source avant publication
"_private-inputs/a-integrer/all-archive/A03-IMG-001 — image antique liée à Achille/Figure 8.Column Krater depicting the death of Talos, ca. 450–400 Bce—Museo Archeologico Nazionale del Sannio Caudino, Montesarchio, Wikimedia commons.jpeg",A03-IMG-001 — image antique liée à Achille,"Figure 8.Column Krater depicting the death of Talos, ca. 450–400 Bce—Museo Archeologico Nazionale del Sannio Caudino, Montesarchio, Wikimedia commons.jpeg",image,jpeg,83533,520x642,activite-03,A03-IMG-001,"Activite 3: corpus iconographique antique ou scientifique, droits a verifier image par image",à vérifier,"la source probable est visible, mais la page et la licence ne sont pas documentees",Wikimedia Commons indique dans le nom de fichier,à vérifier,"retrouver la page Wikimedia exacte et renseigner auteur, licence et URL"
_private-inputs/a-integrer/all-archive/A03-IMG-002 — Thétis et Achille tradition tardive/Thetis_attempts_to_make_the_baby_Achilles_immortal.jpg,A03-IMG-002 — Thétis et Achille tradition tardive,Thetis_attempts_to_make_the_baby_Achilles_immortal.jpg,image,jpg,44929,528x410,activite-03,A03-IMG-002,"Activite 3: tradition tardive Thetis/Achille, droits a verifier",publiable après légende prudente,"image contemporaine CC BY-SA 4.0; utilisable seulement comme illustration explicative moderne, pas comme source historique","Sasanian1111, via Wikimedia Commons",CC BY-SA 4.0,publier seulement avec mention illustration contemporaine et eviter toute confusion avec source antique
_private-inputs/a-integrer/all-archive/A03-IMG-002 — Thétis et Achille tradition tardive/Thetis_Immerses_Son_Achilles_in_Water_of_River_Styx_by_Antoine_Borel.jpg,A03-IMG-002 — Thétis et Achille tradition tardive,Thetis_Immerses_Son_Achilles_in_Water_of_River_Styx_by_Antoine_Borel.jpg,image,jpg,320854,825x569,activite-03,A03-IMG-002,"Activite 3: tradition tardive Thetis/Achille, droits a verifier",publiable maintenant,"oeuvre du 18e siecle en domaine public; utile pour montrer la tradition tardive, avec legende prudente","Antoine Borel, 18e siecle, via Wikimedia Commons",domaine public / Public Domain Mark,"integration possible en activite 3 avec legende indiquant une representation tardive, pas un recit grec archaïque"
_private-inputs/a-integrer/all-archive/A03-IMG-003 — illustration moderne du talon d’Achille/Death_of_Achilles_-_Peter_paul_Rubens.jpg,A03-IMG-003 — illustration moderne du talon d’Achille,Death_of_Achilles_-_Peter_paul_Rubens.jpg,image,jpg,105504,650x630,activite-03,A03-IMG-003,"Activite 3: images modernes de la mort/talon d'Achille, droits a verifier",publiable maintenant,oeuvre en domaine public; utile pour comparer une representation moderne de la mort d'Achille,"d'apres Peter Paul Rubens, via Wikimedia Commons",domaine public / Public Domain Mark,"integration possible en activite 3 avec legende: image moderne, pas source grecque ancienne"
_private-inputs/a-integrer/all-archive/A03-IMG-003 — illustration moderne du talon d’Achille/The_Death_of_Achilles._Alexander_Rothaug._German_1870-1946._brown_ink_and_oil.jpg,A03-IMG-003 — illustration moderne du talon d’Achille,The_Death_of_Achilles._Alexander_Rothaug._German_1870-1946._brown_ink_and_oil.jpg,image,jpg,831507,2382x3200,activite-03,A03-IMG-003,"Activite 3: images modernes de la mort/talon d'Achille, droits a verifier",publiable maintenant,oeuvre en domaine public; utile pour comparer une representation moderne de la mort d'Achille,"Alexander Rothaug, via Wikimedia Commons",domaine public / Public Domain Mark,"integration possible en activite 3 avec legende: image moderne, pas source grecque ancienne"
