"id","auteurs","titre","année","type","statut_publication","doi","url_editeur","url_academia","chemin_local_prive","texte_integral_disponible","langue","themes","activites_concernees","statut_lecture","statut_validation_scientifique","droits_connus","notes"
"BC-011","Barbara Carè","Il gioco degli astragali: un passatempo tra antico e moderno","2009-2010","article scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","it","jeu; règles; gestes; réception; pratiques modernes","2;4","référence bibliographique repérée","texte intégral requis avant validation d'une affirmation","droits à vérifier","Ludica. Annali di Storia e Civiltà del Gioco 15-16, p. 31-40 selon les références disponibles."
"BC-012","Diego Elia; Barbara Carè","Ancora sull’‘astragalomania’ a Locri Epizefiri. La documentazione dalla necropoli in contrada Lucifero","2004","article scientifique","publié","","https://iris.unito.it/handle/2318/6210","https://unil.academia.edu/BarbaraCar%C3%A8","","notice institutionnelle et copie Academia signalées; texte à vérifier","it","Locres; nécropole; dépôts; astragales; archéologie","2;4","notice et référence bibliographique consultées","texte intégral requis avant validation d'une affirmation","droits à vérifier","Orizzonti. Rassegna di archeologia 5, p. 77-90."
"BC-013","Barbara Carè","Alcune osservazioni sulle sepolture di defunti in età pre-adulta nelle necropoli greche d’Occidente: la diffusione dell’astragalo","2006","article scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","it","enfance; sépultures; Grèce d'Occident; diffusion; astragales","2;4","référence bibliographique repérée","texte intégral requis avant validation d'une affirmation","droits à vérifier","Orizzonti. Rassegna di archeologia 7, p. 143-151."
"BC-014","Barbara Carè","La bambola e l’astragalo nelle tombe greche: testimonianze del mondo ludico infantile?","2013","chapitre scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","it","enfance; genre; tombes; poupées; astragales; interprétation ludique","2;4","notice Academia repérée","texte intégral requis avant validation d'une affirmation","droits à vérifier","Dans Il gioco e i giochi nel mondo antico tra cultura materiale e immateriale."
"BC-015","Barbara Carè","Athènes, une cité ludique ? L’importance des jeux dans la vie quotidienne","2024","chapitre scientifique","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","fr","Athènes; jeux; pratiques quotidiennes; culture matérielle","2;3;4","métadonnées consultées","texte intégral requis avant validation d'une affirmation","droits à vérifier","Dans N. Siron (dir.), Nouvelle histoire d’Athènes. La cité vue de l’Agora : Ve-IVe siècles av. J.-C., p. 353-371."
"BC-016","Barbara Carè","L’homme est ludens … et la femme ?","2024","notice ou chapitre","publié","","","https://unil.academia.edu/BarbaraCar%C3%A8","","copie Academia signalée; accès à vérifier","fr","genre; femmes; jeu; iconographie; histoire sociale","2;3","métadonnées consultées","texte intégral requis avant validation d'une affirmation","droits à vérifier","Dans S. Lalanne (dir.), D. Lett et D. Picco, Une histoire des femmes en Europe (des grottes aux Lumières)."
"BC-017","Barbara Carè (dir.)","Astragalomania. New Perspectives in the Study of Knucklebones in the Ancient World","2026","ouvrage collectif","éditeur : publié en 2026; profil Academia : forthcoming","","https://www.degruyterbrill.com/document/isbn/9783110622058/html","https://unil.academia.edu/BarbaraCar%C3%A8","","non déterminé","en","astragales; archéologie; rites; jeu; médecine; historiographie","1;2;3;4","sommaire et statut à vérifier","ne pas utiliser un chapitre non lu pour valider une affirmation","droits éditeur et chapitres à vérifier","Le statut divergent entre l'éditeur et le profil doit être confirmé avec Barbara Carè."
"BC-018","Barbara Carè","Astragaloi: a ‘Toy’ Story. Making, Unmaking, and Reframing of a Historiographical Tradition","","monographie","en préparation","","","https://unil.academia.edu/BarbaraCar%C3%A8","","non","en","historiographie; astragales; jeu; sources anciennes; erreurs d'interprétation","1;2;3;4","notice de projet seulement","ne peut pas valider une affirmation sans texte complet","droits non déterminés","À localiser; ne pas supposer une date ou un éditeur définitif."
"BC-019","Barbara Carè","“Knucklebones” in Classical Antiquity: Questions and Answers","","chapitre scientifique","profil Academia : forthcoming; statut actuel à localiser","","","https://unil.academia.edu/BarbaraCar%C3%A8","","à vérifier","en","terminologie; valeurs; règles; lancers; jeu; astragales","1;2;4","notice Academia seulement","ne peut pas valider une affirmation sans texte complet","droits non déterminés","Annoncé dans Astragalomania; référence définitive à confirmer."
"BC-020","Barbara Carè; Kyriaki Katsarelia","Astragali, Gaming Equipment and Medical Practice in Roman Eretria. Rethinking the “Doctor’s Set”","","chapitre scientifique","profil Academia : forthcoming; statut actuel à localiser","","","https://unil.academia.edu/BarbaraCar%C3%A8","","à vérifier","en","Érétrie; médecine; jeu; contexte archéologique; interprétation","4","notice Academia seulement","ne peut pas valider une affirmation sans texte complet","droits non déterminés","Annoncé dans Astragalomania; référence définitive à confirmer."
"BC-021","Barbara Carè","A New Reading of “paignia kampesíguia” in Clement’s Protreptikos","","chapitre scientifique","profil Academia : forthcoming; statut actuel à localiser","","","https://unil.academia.edu/BarbaraCar%C3%A8","","à vérifier","en","Clément d'Alexandrie; terminologie; rites; Dionysos; sources anciennes","3;4","notice Academia seulement","ne peut pas valider une affirmation sans texte complet","droits non déterminés","Annoncé dans Astragalomania; référence définitive à confirmer."
"BC-022","Barbara Carè","Precious Bones: Astragali in Amuletic Jewellery","","chapitre de catalogue","forthcoming selon le profil; statut actuel à localiser","","","https://unil.academia.edu/BarbaraCar%C3%A8","","non déterminé","en","amulette; bijoux; rites; protection; astragales","4","notice Academia seulement","ne peut pas valider une affirmation sans texte complet","droits de l'autrice, du catalogue et des objets à vérifier séparément","Catalogue Art in Gold. Jewellery in Hellenistic Times; aucune année définitive inventoriée."
"BC-023","Barbara Carè","To the Bare Bones: Rethinking Astragali in Ancient Greece","","chapitre scientifique","statut contradictoire : cité comme 2025 dans une chronique; forthcoming dans la bibliographie BICS 2026","","","","","non déterminé","en","historiographie; jeu; astragales; Aristote; sources anciennes","1;2;3;4","références secondaires seulement","à localiser; ne peut pas valider une affirmation sans texte complet","droits non déterminés","Dans M. Gerolemou et C. Scott (eds), Every Bone Has a Story; demander la référence définitive."
"BC-024","Barbara Carè","Re-thinking Astragali in Archaeological Contexts: The Case-study of the Sanctuary of Artemis Orthia at Sparta","2017","conférence","conférence","","","https://unil.academia.edu/BarbaraCar%C3%A8/Talks","","non déterminé","en","Sparte; sanctuaire; Artémis Orthia; archéologie; rites","4","notice de conférence seulement","ne peut pas valider une affirmation sans texte complet","droits non déterminés","University of Nottingham, 29 novembre 2017; publication associée à localiser."
"BC-025","Barbara Carè","“The Playful and the Serious”: Multiple Perspectives on Game in Ancient Greek Society","2017","conférence","conférence","","","https://unil.academia.edu/BarbaraCar%C3%A8/Talks","","à vérifier","en","jeu; iconographie; continuité; erreurs historiographiques","2;3;4","résumé de conférence repéré","ne peut pas valider une affirmation sans texte complet","droits non déterminés","20th Board Game Studies Colloquium, University of Copenhagen, 19 mai 2017."
"BC-026","Barbara Carè","A ‘Toy’ Story: An Historiographical Inquiry into the Ludic Value of Astragali","2024","conférence","conférence","","https://ludocorpus.org/content/files/2024/03/Affiche_des-jeux-et-des-rites-de-lantiquite-a-nos-jours-21-et-22-mars-2024.pdf","https://unil.academia.edu/BarbaraCar%C3%A8","","non déterminé","en","historiographie; valeur ludique; rites; astragales","2;4","programme consulté","ne peut pas valider une affirmation sans texte complet","droits non déterminés","Journée d'étude Des jeux et des rites, Université de Toulouse, 21 mars 2024."
"BC-027","Barbara Carè","The ‘Power of Animals’: Astragali as Amulets in Classical Antiquity","2026","conférence","conférence","","https://bibliotecadigital.ipb.pt/bitstreams/738497e5-428f-47c4-8331-be54427bd329/download","","","résumé intégral disponible dans le programme","en","amulette; animaux; rites; protection; contextes archéologiques","4","résumé consulté","résumé insuffisant pour valider une affirmation précise","droits du programme et des figures à vérifier","International Conference on Amulets; texte de publication à localiser."
