language,file,page,width_mm,height_mm,text_characters,body_text_characters,blank,characters_outside_page
fr,activite-02-guide-encadrement.pdf,1,209.89,297.01,951,789,False,0
fr,activite-02-guide-encadrement.pdf,2,209.89,297.01,877,714,False,0
fr,activite-02-guide-encadrement.pdf,3,209.89,297.01,1660,1462,False,0
fr,activite-02-guide-encadrement.pdf,4,209.89,297.01,1645,1481,False,0
fr,activite-02-guide-encadrement.pdf,5,209.89,297.01,405,260,False,0
fr,activite-02-kit-complet.pdf,1,209.89,297.01,1042,884,False,0
fr,activite-02-kit-complet.pdf,2,209.89,297.01,944,789,False,0
fr,activite-02-kit-complet.pdf,3,209.89,297.01,870,714,False,0
fr,activite-02-kit-complet.pdf,4,209.89,297.01,1653,1462,False,0
fr,activite-02-kit-complet.pdf,5,209.89,297.01,1638,1481,False,0
fr,activite-02-kit-complet.pdf,6,209.89,297.01,330,193,False,0
fr,activite-02-kit-complet.pdf,7,209.89,297.01,669,516,False,0
fr,activite-02-kit-complet.pdf,8,209.89,297.01,610,459,False,0
fr,activite-02-kit-complet.pdf,9,209.89,297.01,457,317,False,0
fr,activite-02-kit-complet.pdf,10,209.89,297.01,448,302,False,0
fr,activite-02-kit-complet.pdf,11,209.89,297.01,402,260,False,0
fr,activite-02-kit-complet.pdf,12,209.89,297.01,377,236,False,0
fr,activite-02-kit-complet.pdf,13,209.89,297.01,406,262,False,0
fr,activite-02-kit-complet.pdf,14,209.89,297.01,329,182,False,0
fr,activite-02-kit-complet.pdf,15,209.89,297.01,231,91,False,0
fr,activite-02-kit-complet.pdf,16,209.89,297.01,1239,1053,False,0
fr,activite-02-kit-complet.pdf,17,209.89,297.01,705,561,False,0
fr,activite-02-kit-complet.pdf,18,209.89,297.01,1161,1010,False,0
fr,activite-02-supports.pdf,1,209.89,297.01,453,302,False,0
fr,activite-02-supports.pdf,2,209.89,297.01,407,260,False,0
fr,activite-02-supports.pdf,3,209.89,297.01,382,236,False,0
fr,activite-02-supports.pdf,4,209.89,297.01,411,262,False,0
fr,activite-02-supports.pdf,5,209.89,297.01,334,182,False,0
fr,activite-02-supports.pdf,6,209.89,297.01,304,158,False,0
fr,activite-03-corrige.pdf,1,209.89,297.01,1646,1461,False,0
fr,activite-03-corrige.pdf,2,209.89,297.01,932,788,False,0
fr,activite-03-fiche-eleve.pdf,1,209.89,297.01,757,603,False,0
fr,activite-03-fiche-eleve.pdf,2,209.89,297.01,767,613,False,0
fr,activite-03-fiche-eleve.pdf,3,209.89,297.01,532,393,False,0
fr,activite-03-guide-encadrement.pdf,1,209.89,297.01,1088,926,False,0
fr,activite-03-guide-encadrement.pdf,2,209.89,297.01,943,779,False,0
fr,activite-03-guide-encadrement.pdf,3,209.89,297.01,1664,1467,False,0
fr,activite-03-guide-encadrement.pdf,4,209.89,297.01,1768,1600,False,0
fr,activite-03-guide-encadrement.pdf,5,209.89,297.01,674,524,False,0
fr,activite-03-kit-complet.pdf,1,209.89,297.01,953,797,False,0
fr,activite-03-kit-complet.pdf,2,209.89,297.01,1081,926,False,0
fr,activite-03-kit-complet.pdf,3,209.89,297.01,936,779,False,0
fr,activite-03-kit-complet.pdf,4,209.89,297.01,1657,1467,False,0
fr,activite-03-kit-complet.pdf,5,209.89,297.01,1761,1600,False,0
fr,activite-03-kit-complet.pdf,6,209.89,297.01,599,457,False,0
fr,activite-03-kit-complet.pdf,7,209.89,297.01,758,603,False,0
fr,activite-03-kit-complet.pdf,8,209.89,297.01,768,613,False,0
fr,activite-03-kit-complet.pdf,9,209.89,297.01,465,326,False,0
fr,activite-03-kit-complet.pdf,10,209.89,297.01,764,612,False,0
fr,activite-03-kit-complet.pdf,11,209.89,297.01,556,416,False,0
fr,activite-03-kit-complet.pdf,12,209.89,297.01,468,330,False,0
fr,activite-03-kit-complet.pdf,13,209.89,297.01,586,446,False,0
fr,activite-03-kit-complet.pdf,14,209.89,297.01,1652,1461,False,0
fr,activite-03-kit-complet.pdf,15,209.89,297.01,870,721,False,0
fr,activite-03-kit-complet.pdf,16,209.89,297.01,1437,1284,False,0
fr,activite-03-supports.pdf,1,209.89,297.01,759,612,False,0
fr,activite-03-supports.pdf,2,209.89,297.01,551,416,False,0
fr,activite-03-supports.pdf,3,209.89,297.01,463,330,False,0
fr,activite-03-supports.pdf,4,209.89,297.01,649,513,False,0
fr,activite-04-corrige.pdf,1,209.89,297.01,1248,1077,False,0
fr,activite-04-corrige.pdf,2,209.89,297.01,932,805,False,0
fr,activite-04-fiche-eleve.pdf,1,209.89,297.01,574,435,False,0
fr,activite-04-fiche-eleve.pdf,2,209.89,297.01,571,435,False,0
fr,activite-04-fiche-eleve.pdf,3,209.89,297.01,643,511,False,0
fr,activite-04-guide-encadrement.pdf,1,209.89,297.01,1039,888,False,0
fr,activite-04-guide-encadrement.pdf,2,209.89,297.01,959,807,False,0
fr,activite-04-guide-encadrement.pdf,3,209.89,297.01,1650,1463,False,0
fr,activite-04-guide-encadrement.pdf,4,209.89,297.01,1769,1615,False,0
fr,activite-04-guide-encadrement.pdf,5,209.89,297.01,392,259,False,0
fr,activite-04-kit-complet.pdf,1,209.89,297.01,934,789,False,0
fr,activite-04-kit-complet.pdf,2,209.89,297.01,1032,888,False,0
fr,activite-04-kit-complet.pdf,3,209.89,297.01,952,807,False,0
fr,activite-04-kit-complet.pdf,4,209.89,297.01,1643,1463,False,0
fr,activite-04-kit-complet.pdf,5,209.89,297.01,1762,1615,False,0
fr,activite-04-kit-complet.pdf,6,209.89,297.01,317,192,False,0
fr,activite-04-kit-complet.pdf,7,209.89,297.01,575,435,False,0
fr,activite-04-kit-complet.pdf,8,209.89,297.01,572,435,False,0
fr,activite-04-kit-complet.pdf,9,209.89,297.01,576,444,False,0
fr,activite-04-kit-complet.pdf,10,209.89,297.01,828,684,False,0
fr,activite-04-kit-complet.pdf,11,209.89,297.01,493,355,False,0
fr,activite-04-kit-complet.pdf,12,209.89,297.01,493,355,False,0
fr,activite-04-kit-complet.pdf,13,209.89,297.01,536,398,False,0
fr,activite-04-kit-complet.pdf,14,209.89,297.01,1254,1077,False,0
fr,activite-04-kit-complet.pdf,15,209.89,297.01,870,738,False,0
fr,activite-04-kit-complet.pdf,16,209.89,297.01,1160,1021,False,0
fr,activite-04-supports.pdf,1,209.89,297.01,823,684,False,0
fr,activite-04-supports.pdf,2,209.89,297.01,488,355,False,0
fr,activite-04-supports.pdf,3,209.89,297.01,488,355,False,0
fr,activite-04-supports.pdf,4,209.89,297.01,599,465,False,0
en,activite-01-corrige.pdf,1,209.89,297.01,1180,1014,False,0
en,activite-01-corrige.pdf,2,209.89,297.01,841,717,False,0
en,activite-01-fiche-eleve.pdf,1,209.89,297.01,625,489,False,0
en,activite-01-fiche-eleve.pdf,2,209.89,297.01,547,419,False,0
en,activite-01-fiche-eleve.pdf,3,209.89,297.01,560,431,False,0
en,activite-01-guide-encadrement.pdf,1,209.89,297.01,909,768,False,0
en,activite-01-guide-encadrement.pdf,2,209.89,297.01,768,626,False,0
en,activite-01-guide-encadrement.pdf,3,209.89,297.01,1560,1382,False,0
en,activite-01-guide-encadrement.pdf,4,209.89,297.01,1546,1403,False,0
en,activite-01-guide-encadrement.pdf,5,209.89,297.01,365,240,False,0
en,activite-01-kit-complet.pdf,1,209.89,297.01,867,730,False,0
en,activite-01-kit-complet.pdf,2,209.89,297.01,904,768,False,0
en,activite-01-kit-complet.pdf,3,209.89,297.01,763,626,False,0
en,activite-01-kit-complet.pdf,4,209.89,297.01,1555,1382,False,0
en,activite-01-kit-complet.pdf,5,209.89,297.01,1541,1403,False,0
en,activite-01-kit-complet.pdf,6,209.89,297.01,302,183,False,0
en,activite-01-kit-complet.pdf,7,209.89,297.01,624,489,False,0
en,activite-01-kit-complet.pdf,8,209.89,297.01,546,419,False,0
en,activite-01-kit-complet.pdf,9,209.89,297.01,501,374,False,0
en,activite-01-kit-complet.pdf,10,209.89,297.01,432,304,False,0
en,activite-01-kit-complet.pdf,11,209.89,297.01,518,395,False,0
en,activite-01-kit-complet.pdf,12,209.89,297.01,368,248,False,0
en,activite-01-kit-complet.pdf,13,209.89,297.01,459,339,False,0
en,activite-01-kit-complet.pdf,14,209.89,297.01,1183,1014,False,0
en,activite-01-kit-complet.pdf,15,209.89,297.01,786,660,False,0
en,activite-01-kit-complet.pdf,16,209.89,297.01,1206,1073,False,0
en,activite-01-supports.pdf,1,209.89,297.01,427,304,False,0
en,activite-01-supports.pdf,2,209.89,297.01,513,395,False,0
en,activite-01-supports.pdf,3,209.89,297.01,363,248,False,0
en,activite-01-supports.pdf,4,209.89,297.01,512,396,False,0
en,activite-02-corrige.pdf,1,209.89,297.01,1184,994,False,0
en,activite-02-corrige.pdf,2,209.89,297.01,713,563,False,0
en,activite-02-fiche-eleve.pdf,1,209.89,297.01,663,508,False,0
en,activite-02-fiche-eleve.pdf,2,209.89,297.01,613,460,False,0
en,activite-02-fiche-eleve.pdf,3,209.89,297.01,492,350,False,0
en,activite-02-guide-encadrement.pdf,1,209.89,297.01,919,757,False,0
en,activite-02-guide-encadrement.pdf,2,209.89,297.01,817,656,False,0
en,activite-02-guide-encadrement.pdf,3,209.89,297.01,1561,1363,False,0
en,activite-02-guide-encadrement.pdf,4,209.89,297.01,1565,1402,False,0
en,activite-02-guide-encadrement.pdf,5,209.89,297.01,375,231,False,0
en,activite-02-kit-complet.pdf,1,209.89,297.01,1014,860,False,0
en,activite-02-kit-complet.pdf,2,209.89,297.01,909,757,False,0
en,activite-02-kit-complet.pdf,3,209.89,297.01,807,656,False,0
en,activite-02-kit-complet.pdf,4,209.89,297.01,1551,1363,False,0
en,activite-02-kit-complet.pdf,5,209.89,297.01,1555,1402,False,0
en,activite-02-kit-complet.pdf,6,209.89,297.01,307,174,False,0
en,activite-02-kit-complet.pdf,7,209.89,297.01,657,508,False,0
en,activite-02-kit-complet.pdf,8,209.89,297.01,607,460,False,0
en,activite-02-kit-complet.pdf,9,209.89,297.01,428,293,False,0
en,activite-02-kit-complet.pdf,10,209.89,297.01,442,300,False,0
en,activite-02-kit-complet.pdf,11,209.89,297.01,394,256,False,0
en,activite-02-kit-complet.pdf,12,209.89,297.01,363,226,False,0
en,activite-02-kit-complet.pdf,13,209.89,297.01,394,254,False,0
en,activite-02-kit-complet.pdf,14,209.89,297.01,325,182,False,0
en,activite-02-kit-complet.pdf,15,209.89,297.01,227,91,False,0
en,activite-02-kit-complet.pdf,16,209.89,297.01,1175,994,False,0
en,activite-02-kit-complet.pdf,17,209.89,297.01,646,506,False,0
en,activite-02-kit-complet.pdf,18,209.89,297.01,1202,1054,False,0
en,activite-02-supports.pdf,1,209.89,297.01,452,300,False,0
en,activite-02-supports.pdf,2,209.89,297.01,404,256,False,0
en,activite-02-supports.pdf,3,209.89,297.01,373,226,False,0
en,activite-02-supports.pdf,4,209.89,297.01,404,254,False,0
en,activite-02-supports.pdf,5,209.89,297.01,335,182,False,0
en,activite-02-supports.pdf,6,209.89,297.01,295,148,False,0
en,activite-03-corrige.pdf,1,209.89,297.01,1597,1416,False,0
en,activite-03-corrige.pdf,2,209.89,297.01,862,722,False,0
en,activite-03-fiche-eleve.pdf,1,209.89,297.01,721,572,False,0
en,activite-03-fiche-eleve.pdf,2,209.89,297.01,731,585,False,0
en,activite-03-fiche-eleve.pdf,3,209.89,297.01,474,341,False,0
en,activite-03-guide-encadrement.pdf,1,209.89,297.01,1033,880,False,0
en,activite-03-guide-encadrement.pdf,2,209.89,297.01,925,770,False,0
en,activite-03-guide-encadrement.pdf,3,209.89,297.01,1862,1666,False,0
en,activite-03-guide-encadrement.pdf,4,209.89,297.01,1667,1513,False,0
en,activite-03-guide-encadrement.pdf,5,209.89,297.01,350,214,False,0
en,activite-03-kit-complet.pdf,1,209.89,297.01,951,799,False,0
en,activite-03-kit-complet.pdf,2,209.89,297.01,1031,880,False,0
en,activite-03-kit-complet.pdf,3,209.89,297.01,923,770,False,0
en,activite-03-kit-complet.pdf,4,209.89,297.01,1860,1666,False,0
en,activite-03-kit-complet.pdf,5,209.89,297.01,1665,1513,False,0
en,activite-03-kit-complet.pdf,6,209.89,297.01,290,157,False,0
en,activite-03-kit-complet.pdf,7,209.89,297.01,723,572,False,0
en,activite-03-kit-complet.pdf,8,209.89,297.01,733,585,False,0
en,activite-03-kit-complet.pdf,9,209.89,297.01,418,284,False,0
en,activite-03-kit-complet.pdf,10,209.89,297.01,742,594,False,0
en,activite-03-kit-complet.pdf,11,209.89,297.01,538,402,False,0
en,activite-03-kit-complet.pdf,12,209.89,297.01,450,317,False,0
en,activite-03-kit-complet.pdf,13,209.89,297.01,584,448,False,0
en,activite-03-kit-complet.pdf,14,209.89,297.01,1603,1416,False,0
en,activite-03-kit-complet.pdf,15,209.89,297.01,810,665,False,0
en,activite-03-kit-complet.pdf,16,209.89,297.01,1490,1340,False,0
en,activite-03-supports.pdf,1,209.89,297.01,730,594,False,0
en,activite-03-supports.pdf,2,209.89,297.01,526,402,False,0
en,activite-03-supports.pdf,3,209.89,297.01,438,317,False,0
en,activite-03-supports.pdf,4,209.89,297.01,630,505,False,0
en,activite-04-corrige.pdf,1,209.89,297.01,1219,1050,False,0
en,activite-04-corrige.pdf,2,209.89,297.01,862,737,False,0
en,activite-04-fiche-eleve.pdf,1,209.89,297.01,582,447,False,0
en,activite-04-fiche-eleve.pdf,2,209.89,297.01,547,414,False,0
en,activite-04-fiche-eleve.pdf,3,209.89,297.01,603,476,False,0
en,activite-04-guide-encadrement.pdf,1,209.89,297.01,1025,882,False,0
en,activite-04-guide-encadrement.pdf,2,209.89,297.01,911,767,False,0
en,activite-04-guide-encadrement.pdf,3,209.89,297.01,1517,1336,False,0
en,activite-04-guide-encadrement.pdf,4,209.89,297.01,1707,1560,False,0
en,activite-04-guide-encadrement.pdf,5,209.89,297.01,364,238,False,0
en,activite-04-kit-complet.pdf,1,209.89,297.01,915,775,False,0
en,activite-04-kit-complet.pdf,2,209.89,297.01,1021,882,False,0
en,activite-04-kit-complet.pdf,3,209.89,297.01,907,767,False,0
en,activite-04-kit-complet.pdf,4,209.89,297.01,1513,1336,False,0
en,activite-04-kit-complet.pdf,5,209.89,297.01,1703,1560,False,0
en,activite-04-kit-complet.pdf,6,209.89,297.01,302,181,False,0
en,activite-04-kit-complet.pdf,7,209.89,297.01,582,447,False,0
en,activite-04-kit-complet.pdf,8,209.89,297.01,547,414,False,0
en,activite-04-kit-complet.pdf,9,209.89,297.01,545,419,False,0
en,activite-04-kit-complet.pdf,10,209.89,297.01,793,653,False,0
en,activite-04-kit-complet.pdf,11,209.89,297.01,507,373,False,0
en,activite-04-kit-complet.pdf,12,209.89,297.01,507,373,False,0
en,activite-04-kit-complet.pdf,13,209.89,297.01,519,385,False,0
en,activite-04-kit-complet.pdf,14,209.89,297.01,1223,1050,False,0
en,activite-04-kit-complet.pdf,15,209.89,297.01,808,680,False,0
en,activite-04-kit-complet.pdf,16,209.89,297.01,1236,1100,False,0
en,activite-04-supports.pdf,1,209.89,297.01,787,653,False,0
en,activite-04-supports.pdf,2,209.89,297.01,501,373,False,0
en,activite-04-supports.pdf,3,209.89,297.01,501,373,False,0
en,activite-04-supports.pdf,4,209.89,297.01,571,442,False,0
de,activite-01-corrige.pdf,1,209.89,297.01,1440,1258,False,0
de,activite-01-corrige.pdf,2,209.89,297.01,996,858,False,0
de,activite-01-fiche-eleve.pdf,1,209.89,297.01,718,576,False,0
de,activite-01-fiche-eleve.pdf,2,209.89,297.01,683,548,False,0
de,activite-01-fiche-eleve.pdf,3,209.89,297.01,663,528,False,0
de,activite-01-guide-encadrement.pdf,1,209.89,297.01,1046,904,False,0
de,activite-01-guide-encadrement.pdf,2,209.89,297.01,844,703,False,0
de,activite-01-guide-encadrement.pdf,3,209.89,297.01,1583,1401,False,0
de,activite-01-guide-encadrement.pdf,4,209.89,297.01,1765,1615,False,0
de,activite-01-guide-encadrement.pdf,5,209.89,297.01,760,630,False,0
de,activite-01-kit-complet.pdf,1,209.89,297.01,979,840,False,0
de,activite-01-kit-complet.pdf,2,209.89,297.01,1042,904,False,0
de,activite-01-kit-complet.pdf,3,209.89,297.01,840,703,False,0
de,activite-01-kit-complet.pdf,4,209.89,297.01,1579,1401,False,0
de,activite-01-kit-complet.pdf,5,209.89,297.01,1761,1615,False,0
de,activite-01-kit-complet.pdf,6,209.89,297.01,674,549,False,0
de,activite-01-kit-complet.pdf,7,209.89,297.01,711,576,False,0
de,activite-01-kit-complet.pdf,8,209.89,297.01,676,548,False,0
de,activite-01-kit-complet.pdf,9,209.89,297.01,574,447,False,0
de,activite-01-kit-complet.pdf,10,209.89,297.01,517,388,False,0
de,activite-01-kit-complet.pdf,11,209.89,297.01,578,455,False,0
de,activite-01-kit-complet.pdf,12,209.89,297.01,383,263,False,0
de,activite-01-kit-complet.pdf,13,209.89,297.01,490,370,False,0
de,activite-01-kit-complet.pdf,14,209.89,297.01,1430,1258,False,0
de,activite-01-kit-complet.pdf,15,209.89,297.01,904,777,False,0
de,activite-01-kit-complet.pdf,16,209.89,297.01,1386,1250,False,0
de,activite-01-supports.pdf,1,209.89,297.01,522,388,False,0
de,activite-01-supports.pdf,2,209.89,297.01,583,455,False,0
de,activite-01-supports.pdf,3,209.89,297.01,388,263,False,0
de,activite-01-supports.pdf,4,209.89,297.01,577,451,False,0
de,activite-02-corrige.pdf,1,209.89,297.01,1300,1084,False,0
de,activite-02-corrige.pdf,2,209.89,297.01,894,721,False,0
de,activite-02-fiche-eleve.pdf,1,209.89,297.01,744,582,False,0
de,activite-02-fiche-eleve.pdf,2,209.89,297.01,699,535,False,0
de,activite-02-fiche-eleve.pdf,3,209.89,297.01,584,435,False,0
de,activite-02-guide-encadrement.pdf,1,209.89,297.01,1046,883,False,0
de,activite-02-guide-encadrement.pdf,2,209.89,297.01,927,764,False,0
de,activite-02-guide-encadrement.pdf,3,209.89,297.01,1544,1343,False,0
de,activite-02-guide-encadrement.pdf,4,209.89,297.01,1761,1589,False,0
de,activite-02-guide-encadrement.pdf,5,209.89,297.01,753,603,False,0
de,activite-02-kit-complet.pdf,1,209.89,297.01,1079,924,False,0
de,activite-02-kit-complet.pdf,2,209.89,297.01,1035,883,False,0
de,activite-02-kit-complet.pdf,3,209.89,297.01,916,764,False,0
de,activite-02-kit-complet.pdf,4,209.89,297.01,1533,1343,False,0
de,activite-02-kit-complet.pdf,5,209.89,297.01,1750,1589,False,0
de,activite-02-kit-complet.pdf,6,209.89,297.01,660,522,False,0
de,activite-02-kit-complet.pdf,7,209.89,297.01,732,582,False,0
de,activite-02-kit-complet.pdf,8,209.89,297.01,687,535,False,0
de,activite-02-kit-complet.pdf,9,209.89,297.01,490,354,False,0
de,activite-02-kit-complet.pdf,10,209.89,297.01,491,348,False,0
de,activite-02-kit-complet.pdf,11,209.89,297.01,410,272,False,0
de,activite-02-kit-complet.pdf,12,209.89,297.01,382,245,False,0
de,activite-02-kit-complet.pdf,13,209.89,297.01,447,306,False,0
de,activite-02-kit-complet.pdf,14,209.89,297.01,395,250,False,0
de,activite-02-kit-complet.pdf,15,209.89,297.01,262,125,False,0
de,activite-02-kit-complet.pdf,16,209.89,297.01,1269,1084,False,0
de,activite-02-kit-complet.pdf,17,209.89,297.01,781,640,False,0
de,activite-02-kit-complet.pdf,18,209.89,297.01,1378,1227,False,0
de,activite-02-supports.pdf,1,209.89,297.01,510,348,False,0
de,activite-02-supports.pdf,2,209.89,297.01,429,272,False,0
de,activite-02-supports.pdf,3,209.89,297.01,401,245,False,0
de,activite-02-supports.pdf,4,209.89,297.01,466,306,False,0
de,activite-02-supports.pdf,5,209.89,297.01,414,250,False,0
de,activite-02-supports.pdf,6,209.89,297.01,363,206,False,0
de,activite-03-corrige.pdf,1,209.89,297.01,1361,1155,False,0
de,activite-03-corrige.pdf,2,209.89,297.01,1554,1384,False,0
de,activite-03-fiche-eleve.pdf,1,209.89,297.01,743,580,False,0
de,activite-03-fiche-eleve.pdf,2,209.89,297.01,753,590,False,0
de,activite-03-fiche-eleve.pdf,3,209.89,297.01,761,608,False,0
de,activite-03-guide-encadrement.pdf,1,209.89,297.01,1230,1054,False,0
de,activite-03-guide-encadrement.pdf,2,209.89,297.01,1037,862,False,0
de,activite-03-guide-encadrement.pdf,3,209.89,297.01,1944,1724,False,0
de,activite-03-guide-encadrement.pdf,4,209.89,297.01,1985,1800,False,0
de,activite-03-guide-encadrement.pdf,5,209.89,297.01,721,560,False,0
de,activite-03-kit-complet.pdf,1,209.89,297.01,1036,882,False,0
de,activite-03-kit-complet.pdf,2,209.89,297.01,1208,1054,False,0
de,activite-03-kit-complet.pdf,3,209.89,297.01,1015,862,False,0
de,activite-03-kit-complet.pdf,4,209.89,297.01,1922,1724,False,0
de,activite-03-kit-complet.pdf,5,209.89,297.01,1963,1800,False,0
de,activite-03-kit-complet.pdf,6,209.89,297.01,617,479,False,0
de,activite-03-kit-complet.pdf,7,209.89,297.01,730,580,False,0
de,activite-03-kit-complet.pdf,8,209.89,297.01,740,590,False,0
de,activite-03-kit-complet.pdf,9,209.89,297.01,666,527,False,0
de,activite-03-kit-complet.pdf,10,209.89,297.01,848,698,False,0
de,activite-03-kit-complet.pdf,11,209.89,297.01,558,422,False,0
de,activite-03-kit-complet.pdf,12,209.89,297.01,466,332,False,0
de,activite-03-kit-complet.pdf,13,209.89,297.01,644,506,False,0
de,activite-03-kit-complet.pdf,14,209.89,297.01,1345,1155,False,0
de,activite-03-kit-complet.pdf,15,209.89,297.01,1456,1303,False,0
de,activite-03-kit-complet.pdf,16,209.89,297.01,1654,1500,False,0
de,activite-03-supports.pdf,1,209.89,297.01,856,698,False,0
de,activite-03-supports.pdf,2,209.89,297.01,566,422,False,0
de,activite-03-supports.pdf,3,209.89,297.01,474,332,False,0
de,activite-03-supports.pdf,4,209.89,297.01,734,587,False,0
de,activite-04-corrige.pdf,1,209.89,297.01,1366,1181,False,0
de,activite-04-corrige.pdf,2,209.89,297.01,994,857,False,0
de,activite-04-fiche-eleve.pdf,1,209.89,297.01,665,524,False,0
de,activite-04-fiche-eleve.pdf,2,209.89,297.01,596,458,False,0
de,activite-04-fiche-eleve.pdf,3,209.89,297.01,714,580,False,0
de,activite-04-guide-encadrement.pdf,1,209.89,297.01,1203,1050,False,0
de,activite-04-guide-encadrement.pdf,2,209.89,297.01,1014,860,False,0
de,activite-04-guide-encadrement.pdf,3,209.89,297.01,1515,1328,False,0
de,activite-04-guide-encadrement.pdf,4,209.89,297.01,1995,1829,False,0
de,activite-04-guide-encadrement.pdf,5,209.89,297.01,782,641,False,0
de,activite-04-kit-complet.pdf,1,209.89,297.01,1059,917,False,0
de,activite-04-kit-complet.pdf,2,209.89,297.01,1190,1050,False,0
de,activite-04-kit-complet.pdf,3,209.89,297.01,1001,860,False,0
de,activite-04-kit-complet.pdf,4,209.89,297.01,1502,1328,False,0
de,activite-04-kit-complet.pdf,5,209.89,297.01,1982,1829,False,0
de,activite-04-kit-complet.pdf,6,209.89,297.01,687,560,False,0
de,activite-04-kit-complet.pdf,7,209.89,297.01,661,524,False,0
de,activite-04-kit-complet.pdf,8,209.89,297.01,592,458,False,0
de,activite-04-kit-complet.pdf,9,209.89,297.01,628,499,False,0
de,activite-04-kit-complet.pdf,10,209.89,297.01,922,780,False,0
de,activite-04-kit-complet.pdf,11,209.89,297.01,549,415,False,0
de,activite-04-kit-complet.pdf,12,209.89,297.01,549,415,False,0
de,activite-04-kit-complet.pdf,13,209.89,297.01,556,421,False,0
de,activite-04-kit-complet.pdf,14,209.89,297.01,1359,1181,False,0
de,activite-04-kit-complet.pdf,15,209.89,297.01,905,776,False,0
de,activite-04-kit-complet.pdf,16,209.89,297.01,1480,1340,False,0
de,activite-04-supports.pdf,1,209.89,297.01,920,780,False,0
de,activite-04-supports.pdf,2,209.89,297.01,547,415,False,0
de,activite-04-supports.pdf,3,209.89,297.01,547,415,False,0
de,activite-04-supports.pdf,4,209.89,297.01,636,502,False,0
it,activite-01-corrige.pdf,1,209.89,297.01,1276,1101,False,0
it,activite-01-corrige.pdf,2,209.89,297.01,889,757,False,0
it,activite-01-fiche-eleve.pdf,1,209.89,297.01,638,500,False,0
it,activite-01-fiche-eleve.pdf,2,209.89,297.01,601,471,False,0
it,activite-01-fiche-eleve.pdf,3,209.89,297.01,598,467,False,0
it,activite-01-guide-encadrement.pdf,1,209.89,297.01,1010,862,False,0
it,activite-01-guide-encadrement.pdf,2,209.89,297.01,800,652,False,0
it,activite-01-guide-encadrement.pdf,3,209.89,297.01,1673,1485,False,0
it,activite-01-guide-encadrement.pdf,4,209.89,297.01,1658,1508,False,0
it,activite-01-guide-encadrement.pdf,5,209.89,297.01,412,281,False,0
it,activite-01-kit-complet.pdf,1,209.89,297.01,934,793,False,0
it,activite-01-kit-complet.pdf,2,209.89,297.01,1003,862,False,0
it,activite-01-kit-complet.pdf,3,209.89,297.01,793,652,False,0
it,activite-01-kit-complet.pdf,4,209.89,297.01,1666,1485,False,0
it,activite-01-kit-complet.pdf,5,209.89,297.01,1651,1508,False,0
it,activite-01-kit-complet.pdf,6,209.89,297.01,335,212,False,0
